lifespan  | app-2 starting up with pid: 19
lifespan  | app-1 starting up with pid: 20
redis     | app-2 subscribed to channel
redis     | app-1 subscribed to channel
lifespan  | app-3 starting up with pid: 17
redis     | app-3 subscribed to channel
wsmanager | Client [szw] connected to app-1
ws-send   | app-1  | client [szw] : None
wsmanager | Client [vbd] connected to app-3
ws-send   | app-3  | client [vbd] : None
http-echo | app-2  | client [vbd] : Marzipip Jollywink
http-echo | app-1  | client [vbd] : Pebblejoy Sunnydrop
http-echo | app-3  | client [vbd] : Marzipip Pebblejoy
http-echo | app-2  | client [vbd] : Marzipip Chipperdew
http-echo | app-1  | client [vbd] : Marzipip Chipperdew
http-echo | app-3  | client [vbd] : Jollywink Marzipip
http-echo | app-3  | client [vbd] : Sunnydrop Jollywink
http-echo | app-3  | client [vbd] : Chipperdew Sunnydrop
ws-recv   | app-3  | client [vbd] : Sunnydrop Chipperdew
ws-send   | app-3  | client [vbd] : [app-3]  Sunnydrop Chipperdew
ws-recv   | app-3  | client [vbd] : Pebblejoy Chipperdew
ws-send   | app-3  | client [vbd] : [app-3]  Pebblejoy Chipperdew
http-redis| app-3  | client [vbd] : Sunnydrop Marzipip
redis-app | app-1  | client [vbd] : Sunnydrop Marzipip
redis-app | app-2  | client [vbd] : Sunnydrop Marzipip
ws-send   | app-1  | client [vbd] : <-- unable to send message. no connection found. -->
redis-app | app-3  | client [vbd] : Sunnydrop Marzipip
ws-send   | app-2  | client [vbd] : <-- unable to send message. no connection found. -->
ws-send   | app-3  | client [vbd] : [app-3]  Sunnydrop Marzipip
http-redis| app-2  | client [vbd] : Sunnydrop Marzipip
redis-app | app-3  | client [vbd] : Sunnydrop Marzipip
redis-app | app-1  | client [vbd] : Sunnydrop Marzipip
ws-send   | app-3  | client [vbd] : [app-3]  Sunnydrop Marzipip
ws-send   | app-1  | client [vbd] : <-- unable to send message. no connection found. -->
redis-app | app-2  | client [vbd] : Sunnydrop Marzipip
ws-send   | app-2  | client [vbd] : <-- unable to send message. no connection found. -->
http-ws   | app-1  | client [vbd] : Sunnydrop Marzipip
ws-send   | app-1  | client [vbd] : <-- unable to send message. no connection found. -->
http-ws   | app-3  | client [vbd] : Chipperdew Marzipip
ws-send   | app-3  | client [vbd] : [app-3]  Chipperdew Marzipip
http-ws   | app-2  | client [vbd] : Chipperdew Pebblejoy
ws-send   | app-2  | client [vbd] : <-- unable to send message. no connection found. -->
http-ws   | app-1  | client [vbd] : Jollywink Chipperdew
ws-send   | app-1  | client [vbd] : <-- unable to send message. no connection found. -->
http-ws   | app-3  | client [vbd] : Marzipip Pebblejoy
ws-send   | app-3  | client [vbd] : [app-3]  Marzipip Pebblejoy
http-ws   | app-3  | client [vbd] : Sunnydrop Pebblejoy
ws-send   | app-3  | client [vbd] : [app-3]  Sunnydrop Pebblejoy
http-ws   | app-3  | client [vbd] : Marzipip Pebblejoy
ws-send   | app-3  | client [vbd] : [app-3]  Marzipip Pebblejoy
http-ws   | app-3  | client [vbd] : Marzipip Pebblejoy
ws-send   | app-3  | client [vbd] : [app-3]  Marzipip Pebblejoy
http-ws   | app-3  | client [vbd] : Marzipip Pebblejoy
ws-send   | app-3  | client [vbd] : [app-3]  Marzipip Pebblejoy
http-ws   | app-3  | client [vbd] : Jollywink Sunnydrop
ws-send   | app-3  | client [vbd] : [app-3]  Jollywink Sunnydrop
http-redis| app-3  | client [vbd] : Jollywink Marzipip
redis-app | app-3  | client [vbd] : Jollywink Marzipip
ws-send   | app-3  | client [vbd] : [app-3]  Jollywink Marzipip
redis-app | app-1  | client [vbd] : Jollywink Marzipip
redis-app | app-2  | client [vbd] : Jollywink Marzipip
ws-send   | app-1  | client [vbd] : <-- unable to send message. no connection found. -->
ws-send   | app-2  | client [vbd] : <-- unable to send message. no connection found. -->
ws-send   | app-3  | client [vbd] : [app-3]  Marzipip Jollywink
lifespan  | app-1 shutting down. Bye bye.
lifespan  | app-3 shutting down. Bye bye.
lifespan  | app-2 shutting down. Bye bye.
